ProductId,Id1,Id2,Id3,Id4,ProductName,Brand,Category,SubCategory,ChildCategory,BundleId1,Bundle1,MOQ1,Price1,Bundle2,MOQ2,Price2,Bundle3,MOQ3,Price3,Bundle4,MOQ4,Price4
1281,0,0,0,0,Archer AX20,TP-Link,Routers,AC Router,,0,,0,0,,0,0,,0,0,,0,0
1291,0,0,0,0,Archer AX20 x 2,TP-Link,,SFP,1G,0,,0,0,,0,0,,0,0,,0,0
1292,0,0,0,0,Archer AX20 x 5,TP-Link,,SFP,1G,0,,0,0,,0,0,,0,0,,0,0
1559,0,0,0,0,Archer AXE75,TP-Link,Routers,AC Router,,0,,0,0,,0,0,,0,0,,0,0
560,156,157,158,159,Archer C1200,TP-Link,Routers,AC Router,,0,Offer 1,5,0,Offer 2,10,0,Offer 3,20,0,Offer 4,50,0
1287,0,0,0,0,Archer C2,TP-Link,Routers,AC Router,,0,,0,0,,0,0,,0,0,,0,0
35,162,160,161,0,Archer C20,TP-Link,Routers,AC Router,,0,,20,0,Offer 1,5,0,Offer 2,10,0,,0,0
1248,0,0,0,0,Archer C20 x 10,TP-Link,,SFP,1G,0,,0,0,,0,0,,0,0,,0,0
1060,0,0,0,0,Archer C20 x 5,TP-Link,Routers,AC Router,,0,,0,0,,0,0,,0,0,,0,0
1900,0,0,0,0,ARCHER C20I,TP-Link,Routers,AC Router,,0,,0,0,,0,0,,0,0,,0,0
1830,0,0,0,0,ARCHER C2300,TP-Link,Routers,AC Router,,0,,0,0,,0,0,,0,0,,0,0
854,163,0,0,0,Archer C24,TP-Link,Routers,AC Router,,0,Offer 1,3,0,,0,0,,0,0,,0,0
1063,0,0,0,0,Archer C24*20,TP-Link,Routers,AC Router,,0,,0,0,,0,0,,0,0,,0,0
857,164,0,0,0,Archer C5,TP-Link,Routers,AC Router,,0,Clearance,4,0,,0,0,,0,0,,0,0
1069,0,0,0,0,Archer C5*20,TP-Link,Routers,AC Router,,0,,0,0,,0,0,,0,0,,0,0
30,165,0,0,0,Archer C50,TP-Link,Routers,AC Router,,0,Clearance,6,0,,0,0,,0,0,,0,0
855,166,167,0,0,Archer C54,TP-Link,Routers,AC Router,,0,Offer 1,1,1390,Offer 2,20,1320,,0,0,,0,0
1062,0,0,0,0,Archer C54*20,TP-Link,Routers,AC Router,,0,,0,0,,0,0,,0,0,,0,0
1257,168,169,170,0,Archer C5400,TP-Link,Routers,AC Router,,0,Offer 1,1,16499,Offer 2,2,15999,Offer 3,5,14999,,0,0
1258,0,0,0,0,Archer C5400 x 2,TP-Link,,SFP,1G,0,,0,0,,0,0,,0,0,,0,0
1265,0,0,0,0,Archer C5400 x 5,TP-Link,,SFP,1G,0,,0,0,,0,0,,0,0,,0,0
34,171,172,0,0,Archer C6,TP-Link,Routers,AC Router,,0,Offer 1,2,2000,Offer 2,20,1978,,0,0,,0,0
1059,173,0,0,0,Archer C6*20,TP-Link,Routers,AC Router,,0,Offer 1,20,1978,,0,0,,0,0,,0,0
1236,174,175,0,0,Archer C64,TP-Link,Routers,AC Router,,0,Offer 1,1,0,Offer 2,2,0,,0,0,,0,0
1274,0,0,0,0,Archer C64 x 2,TP-Link,,SFP,1G,0,,0,0,,0,0,,0,0,,0,0
